id;distance_beech;distance_oak;distance_dgl;oak_regen;beech_regen;douglas_regen
6311;110;130;170,8800659;0;0;0
15421;98,4885788;171,1724243;260,7680969;0;0;0
965;86,02325439;0;269,2582397;0;0;0
43392;0;31,62277603;155,241745;0;9;0
41716;89,44271851;85,44003296;30;0;0;0
10900;0;92,1954422;106,3014603;0;0;0
25978;42,42640686;0;120;4;0;0
28394;152,3154602;0;44,72135925;13;1;0
27129;72,80110168;0;165,5294647;0;0;0
14773;60;70,7106781;0;0;0;0
9266;0;78,10250092;280,7133789;0;14;0
24649;0;20;398,120575;0;0;0
30816;253,1797791;0;152,6433716;0;0;0
42157;275,8623047;186,0107574;50;0;0;1
28591;338,378479;120;82,46211243;0;0;0
17456;350;22,36067963;0;0;0;0
42214;253,1797791;90,5538559;20;0;0;0
21373;0;14,14213562;206,1552734;0;2;0
18586;0;90;147,6482239;0;10;0
31837;0;67,08203888;390;0;0;0
39066;296,9848328;80;10;2;0;0
31068;347,131073;253,1797791;136,0147095;0;0;0
34933;206,1552734;156,524765;0;1;0;0
16392;0;72,11102295;89,44271851;0;6;0
10041;130;304,7950134;690,5070801;0;0;0
4058;0;50;780,2563477;0;30;0
6046;0;58,30951691;449,4440918;0;0;0
7193;107,7032928;366,1966553;196,4688263;0;0;0
13673;0;80;60,82762909;0;0;0
